epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_precision,val_recall,train_kappa,val_kappa,train_f1,grad_norm,update_norm,param_norm
1,0.9087159286962343,54.44770283479961,0.8618447482585907,59.375,0.5808465608465608,0.6016840882694541,0.569467787114846,0.21311978713605895,0.3262305453625206,0.4597885793855663,0.6165683940052986,5.129657745361328,9.530078887939453
2,0.8186658969839065,59.72629521016618,0.8031363487243652,61.328125,0.6000660758957109,0.6302910052910052,0.5844070961718021,0.3046533957613613,0.35671861515812986,0.5099528321619813,0.4443610981106758,3.581618309020996,11.02221965789795
3,0.7751369445438142,62.56109481915934,0.8299709558486938,60.15625,0.4248493442041829,0.3956007811696988,0.45891690009337066,0.37872786431905825,0.2947848867042968,0.5846160145773192,0.4569464772939682,2.5115084648132324,12.071510314941406
4,0.747167612625357,64.71163245356794,0.7802740931510925,61.71875,0.5923955653578257,0.6149117436996225,0.5795518207282913,0.3825531295925686,0.3632002436733761,0.48711798563257824,0.40608709678053856,1.8924776315689087,12.754610061645508
5,0.7428589652011122,65.98240469208211,0.7866116166114807,61.328125,0.5634191282589004,0.6838441156822567,0.5387488328664799,0.4328220291997783,0.3383976818858172,0.6120696613328193,0.4022342897951603,1.6732134819030762,13.339117050170898
6,0.7153641779634843,66.56891495601172,0.7957133650779724,64.84375,0.6005491463201887,0.6373929512516469,0.584780578898226,0.427317592175799,0.4023656360240714,0.5757280447090797,0.4619935192167759,1.6553808450698853,13.769527435302734
7,0.712125499810175,66.47116324535679,0.7672829627990723,62.5,0.5876826505372992,0.6198968312453942,0.5712418300653596,0.44219574154206154,0.36918298724299903,0.6314422802248583,0.5493014007806778,1.607885718345642,14.1373291015625
8,0.7086767322972839,67.25317693059628,0.7478349208831787,62.890625,0.6078085043116266,0.6447539183388239,0.5898225957049487,0.43692391107898065,0.3800662758093296,0.6012167289852338,0.5190664529800415,1.5934659242630005,14.487980842590332
9,0.6954517497927796,67.25317693059628,0.8397489488124847,64.84375,0.6087719298245614,0.6501355351732839,0.5910364145658263,0.4556617814069993,0.4015739850912964,0.633806079949077,0.4697517603635788,1.7531495094299316,14.959428787231445
10,0.689071559486501,67.93743890518084,0.7648119330406189,63.28125,0.6047944496220358,0.6460694223463325,0.5873015873015873,0.4546154933904164,0.38634161268934564,0.6246353772708187,0.4804704301059246,1.6242166757583618,15.311355590820312
